Date,Bank Name,Atm's on-site,Atm's off-site,Credit card cash withdraw,Debit card cash withdraw
Jan2025,BANK OF BARODA,8504.0,2411.0,63510.0,120380330.0
Jan2025,BANK OF INDIA,5341.0,2895.0,29163.0,63783084.0
Jan2025,BANK OF MAHARASHTRA,2197.0,252.0,3709.0,29366539.0
Jan2025,CANARA BANK,8174.0,3794.0,560312.0,150843429.0
Jan2025,CENTRAL BANK OF INDIA,2857.0,1144.0,0.0,39560576.0
Jan2025,INDIAN BANK,4616.0,607.0,33913.0,92238269.0
Jan2025,INDIAN OVERSEAS BANK,2765.0,733.0,13141.0,50149331.0
Jan2025,PUNJAB AND SIND BANK,1019.0,27.0,0.0,6995931.0
Jan2025,PUNJAB NATIONAL BANK,7816.0,4188.0,21490.0,127630387.0
Jan2025,STATE BANK OF INDIA,27254.0,37739.0,587473.0,847272075.0
Jan2025,UCO BANK,2254.0,226.0,0.0,30817570.0
Jan2025,UNION BANK OF INDIA,6786.0,1340.0,41316.0,128597054.0
Jan2025,AXIS BANK LTD,6595.0,7933.0,376148.0,115354101.0
Jan2025,BANDHAN BANK LTD,433.0,5.0,0.0,12527291.0
Jan2025,CITY UNION BANK,1179.0,518.0,1237.0,13638792.0
Jan2025,CSB BANK LTD,745.0,39.0,0.0,2231814.0
Jan2025,DCB BANK LTD,425.0,5.0,2.0,1558676.0
Jan2025,DHANALAKSHMI BANK LTD,241.0,39.0,998.0,1929435.0
Jan2025,FEDERAL BANK LTD,1744.0,314.0,28298.0,40660068.0
Jan2025,HDFC BANK LTD,12421.0,8540.0,1242860.0,228927930.0
Jan2025,ICICI BANK LTD,10239.0,5960.0,333134.0,109666039.0
Jan2025,IDBI BANK LTD,2383.0,776.0,3356.0,26523127.0
Jan2025,IDFC FIRST BANK LTD,906.0,311.0,122670.0,19277859.0
Jan2025,INDUSIND BANK LTD,1989.0,1041.0,135234.0,23895503.0
Jan2025,JAMMU AND KASHMIR BANK LTD,944.0,634.0,51449.0,26191822.0
Jan2025,KARNATAKA BANK LTD,948.0,561.0,0.0,18482419.0
Jan2025,KARUR VYSYA BANK LTD,1517.0,701.0,3200.0,20134108.0
Jan2025,KOTAK MAHINDRA BANK LTD,1908.0,1422.0,131024.0,52754644.0
Jan2025,NAINITAL BANK LTD,0.0,0.0,0.0,327276.0
Jan2025,RBL BANK LTD,377.0,35.0,146919.0,2899033.0
Jan2025,SOUTH INDIAN BANK,911.0,370.0,0.0,14594621.0
Jan2025,TAMILNAD MERCANTILE BANK LTD,505.0,650.0,7886.0,21695809.0
Jan2025,YES BANK LTD,1170.0,157.0,82578.0,11292822.0
Dec2024,BANK OF BARODA,8395.0,2383.0,66327.0,118048467.0
Dec2024,BANK OF INDIA,5339.0,2897.0,57497.0,63750511.0
Dec2024,BANK OF MAHARASHTRA,2173.0,243.0,3744.0,28403102.0
Dec2024,CANARA BANK,8217.0,3809.0,581758.0,149324314.0
Dec2024,CENTRAL BANK OF INDIA,2857.0,1144.0,0.0,40488348.0
Dec2024,INDIAN BANK,4617.0,607.0,36844.0,91525693.0
Dec2024,INDIAN OVERSEAS BANK,2764.0,737.0,13563.0,51422876.0
Dec2024,PUNJAB AND SIND BANK,1016.0,27.0,0.0,6935195.0
Dec2024,PUNJAB NATIONAL BANK,7826.0,4208.0,24790.0,128392112.0
Dec2024,STATE BANK OF INDIA,26468.0,37646.0,588195.0,846159589.0
Dec2024,UCO BANK,2254.0,223.0,0.0,30228287.0
Dec2024,UNION BANK OF INDIA,5557.0,1206.0,43377.0,133559127.0
Dec2024,AXIS BANK LTD,6505.0,7955.0,382768.0,114970139.0
Dec2024,BANDHAN BANK LTD,433.0,5.0,0.0,13046399.0
Dec2024,CITY UNION BANK,1170.0,523.0,1419.0,13297319.0
Dec2024,CSB BANK LTD,737.0,40.0,0.0,2246526.0
Dec2024,DCB BANK LTD,425.0,5.0,2.0,1637803.0
Dec2024,DHANALAKSHMI BANK LTD,241.0,39.0,1030.0,1917014.0
Dec2024,FEDERAL BANK LTD,1739.0,314.0,26634.0,40424701.0
Dec2024,HDFC BANK LTD,12403.0,8646.0,1311483.0,231886539.0
Dec2024,ICICI BANK LTD,10186.0,6088.0,346519.0,111707973.0
Dec2024,IDBI BANK LTD,2377.0,807.0,3132.0,26263758.0
Dec2024,IDFC FIRST BANK LTD,913.0,295.0,128393.0,19173071.0
Dec2024,INDUSIND BANK LTD,1922.0,1071.0,129306.0,23959818.0
Dec2024,JAMMU AND KASHMIR BANK LTD,944.0,633.0,41588.0,27926297.0
Dec2024,KARNATAKA BANK LTD,944.0,562.0,0.0,18429414.0
Dec2024,KARUR VYSYA BANK LTD,1493.0,704.0,4273.0,20155296.0
Dec2024,KOTAK MAHINDRA BANK LTD,1896.0,1441.0,136814.0,52946254.0
Dec2024,NAINITAL BANK LTD,0.0,0.0,0.0,337461.0
Dec2024,RBL BANK LTD,376.0,35.0,156871.0,2789844.0
Dec2024,SOUTH INDIAN BANK,910.0,370.0,0.0,14604445.0
Dec2024,TAMILNAD MERCANTILE BANK LTD,508.0,654.0,8432.0,21639415.0
Dec2024,YES BANK LTD,1168.0,157.0,85731.0,11495120.0
Nov2024,BANK OF BARODA,8345.0,2343.0,64370.0,111001788.0
Nov2024,BANK OF INDIA,5337.0,2898.0,53558.0,60253474.0
Nov2024,BANK OF MAHARASHTRA,2160.0,242.0,4066.0,25800558.0
Nov2024,CANARA BANK,8272.0,3818.0,545268.0,143888559.0
Nov2024,CENTRAL BANK OF INDIA,2857.0,1144.0,0.0,38940301.0
Nov2024,INDIAN BANK,4613.0,609.0,34235.0,89199998.0
Nov2024,INDIAN OVERSEAS BANK,2762.0,738.0,12270.0,48701855.0
Nov2024,PUNJAB AND SIND BANK,1017.0,26.0,0.0,6867868.0
Nov2024,PUNJAB NATIONAL BANK,7799.0,4216.0,22156.0,124716879.0
Nov2024,STATE BANK OF INDIA,26037.0,37787.0,556814.0,807129000.0
Nov2024,UCO BANK,2246.0,228.0,0.0,28760255.0
Nov2024,UNION BANK OF INDIA,7032.0,1368.0,44852.0,127944214.0
Nov2024,AXIS BANK LTD,6482.0,8004.0,363425.0,110525984.0
Nov2024,BANDHAN BANK LTD,433.0,5.0,0.0,12690347.0
Nov2024,CITY UNION BANK,1172.0,519.0,1361.0,12538655.0
Nov2024,CSB BANK LTD,728.0,44.0,0.0,2106095.0
Nov2024,DCB BANK LTD,425.0,5.0,0.0,1570401.0
Nov2024,DHANALAKSHMI BANK LTD,241.0,39.0,1013.0,1840756.0
Nov2024,FEDERAL BANK LTD,1732.0,313.0,24988.0,38548304.0
Nov2024,HDFC BANK LTD,12174.0,8606.0,1261931.0,221123286.0
Nov2024,ICICI BANK LTD,10081.0,6105.0,329174.0,106733160.0
Nov2024,IDBI BANK LTD,2366.0,867.0,3382.0,24648840.0
Nov2024,IDFC FIRST BANK LTD,910.0,294.0,121685.0,18439936.0
Nov2024,INDUSIND BANK LTD,1916.0,1113.0,119722.0,22428095.0
Nov2024,JAMMU AND KASHMIR BANK LTD,947.0,632.0,41364.0,29720584.0
Nov2024,KARNATAKA BANK LTD,940.0,565.0,0.0,17658043.0
Nov2024,KARUR VYSYA BANK LTD,1482.0,714.0,5151.0,19228458.0
Nov2024,KOTAK MAHINDRA BANK LTD,1867.0,1453.0,135122.0,50793926.0
Nov2024,NAINITAL BANK LTD,0.0,0.0,0.0,324990.0
Nov2024,RBL BANK LTD,373.0,35.0,152701.0,2669443.0
Nov2024,SOUTH INDIAN BANK,910.0,370.0,0.0,13874074.0
Nov2024,TAMILNAD MERCANTILE BANK LTD,509.0,653.0,7658.0,20827209.0
Nov2024,YES BANK LTD,1167.0,162.0,82119.0,12985328.0
Oct2024,BANK OF BARODA,8217.0,2256.0,69214.0,135255138.0
Oct2024,BANK OF INDIA,5335.0,2900.0,58490.0,73090438.0
Oct2024,BANK OF MAHARASHTRA,2143.0,238.0,3956.0,35032636.0
Oct2024,CANARA BANK,8298.0,3846.0,557598.0,162057139.0
Oct2024,CENTRAL BANK OF INDIA,2857.0,1144.0,0.0,47239167.0
Oct2024,INDIAN BANK,4607.0,614.0,37791.0,103113836.0
Oct2024,INDIAN OVERSEAS BANK,2763.0,738.0,13393.0,56110997.0
Oct2024,PUNJAB AND SIND BANK,1052.0,28.0,0.0,7985674.0
Oct2024,PUNJAB NATIONAL BANK,7809.0,4212.0,24877.0,146189089.0
Oct2024,STATE BANK OF INDIA,25447.0,37886.0,590521.0,957780419.0
Oct2024,UCO BANK,2246.0,228.0,0.0,33767670.0
Oct2024,UNION BANK OF INDIA,7669.0,2022.0,49311.0,148546194.0
Oct2024,AXIS BANK LTD,6441.0,8038.0,404524.0,135316844.0
