Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.)
Mar-25,661,"18,301.51","24,77,221.61"
Feb-25,653,"16,106.19","21,96,481.69"
Jan-25,647,"16,996.00","23,48,037.12"
Dec-24,641,"16,730.01","23,24,699.91"
Nov-24,637,"15,482.02","21,55,187.40"
Oct-24,632,"16,584.97","23,49,821.46"
Sep-24,622,"15,041.75","20,63,994.71"
Aug-24,608,"14,963.05","20,60,735.57"
Jul-24,605,"14,435.55","20,64,292.41"
Jun-24,602,"13,885.14","20,07,081.20"
May-24,598,"14,035.84","20,44,937.05"
Apr-24,583,"13,303.99","19,64,464.52"
Mar-24,572,"13,440.00","19,78,353.23"
Feb-24,560,"12,102.67","18,27,869.35"
Jan-24,550,"12,203.02","18,41,083.97"
Dec-23,522,"12,020.23","18,22,949.42"
Nov-23,516,"11,235.29","17,39,740.61"
Oct-23,505,"11,408.79","17,15,768.34"
Sep-23,492,"10,555.69","15,79,133.18"
Aug-23,484,"10,586.02","15,76,536.56"
Jul-23,473,"9,964.61","15,33,536.44"
Jun-23,458,"9,335.06","14,75,464.26"
May-23,445,"9,415.19","14,89,145.44"
Apr-23,414,"8,863.26","14,15,504.71"
Mar-23,399,"8,685.30","14,10,443.01"
Feb-23,390,"7,534.76","12,35,846.62"
Jan-23,385,"8,036.89","12,98,726.62"
Dec-22,382,"7,829.49","12,82,055.01"
Nov-22,376,"7,309.45","11,90,593.39"
Oct-22,365,"7,305.42","12,11,582.51"
Sep-22,358,"6,780.80","11,16,438.10"
Aug-22,346,"6,579.63","10,72,792.68"
Jul-22,338,"6,288.40","10,62,991.76"
Jun-22,330,"5,862.75","10,14,384.31"
May-22,323,"5,955.20","10,41,520.07"
Apr-22,316,"5,583.05","9,83,302.27"
Mar-22,314,"5,405.65","9,60,581.66"
Feb-22,304,"4,527.49","8,26,843.00"
Jan-22,297,"4,617.15","8,31,993.11"
Dec-21,282,"4,566.30","8,26,848.22"
Nov-21,274,"4,186.48","7,68,436.11"
Oct-21,261,"4,218.65","7,71,444.98"
Sep-21,259,"3,654.30","6,54,351.81"
Aug-21,249,"3,555.55","6,39,116.95"
Jul-21,235,"3,247.82","6,06,281.14"
Jun-21,229,"2,807.51","5,47,373.17"
May-21,224,"2,539.57","4,90,638.65"
Apr-21,220,"2,641.06","4,93,663.68"
Mar-21,216,"2,731.68","5,04,886.44"
Feb-21,213,"2,292.90","4,25,062.76"
Jan-21,207,"2,302.73","4,31,181.89"
Dec-20,207,"2,234.16","4,16,176.21"
Nov-20,200,"2,210.23","3,90,999.15"
Oct-20,189,"2,071.62","3,86,106.74"
Sep-20,174,"1,800.14","3,29,027.66"
Aug-20,168,"1,618.83","2,98,307.61"
Jul-20,164,"1,497.36","2,90,537.86"
Jun-20,155,"1,336.93","2,61,835.00"
May-20,155,"1,234.50","2,18,391.60"
Apr-20,153,999.57,"1,51,140.66"
Mar-20,148,"1,246.84","2,06,462.31"
Feb-20,146,"1,325.69","2,22,516.95"
Jan-20,144,"1,305.02","2,16,242.97"
Dec-19,143,"1,308.40","2,02,520.76"
Nov-19,143,"1,218.77","1,89,229.09"
Oct-19,141,"1,148.36","1,91,359.94"
Sep-19,141,955.02,"1,61,456.56"
Aug-19,141,918.35,"1,54,504.89"
Jul-19,143,822.29,"1,46,386.64"
Jun-19,142,754.54,"1,46,566.35"
May-19,143,733.54,"1,52,449.29"
Apr-19,144,781.79,"1,42,034.39"
Mar-19,142,799.54,"1,33,460.72"
Feb-19,139,674.19,"1,06,737.12"
Jan-19,134,672.75,"1,09,932.43"
Dec-18,129,620.17,"1,02,594.82"
Nov-18,128,524.94,"82,232.21"
Oct-18,128,482.36,"74,978.27"
Sep-18,122,405.87,"59,835.36"
