Date,Bank Name,Atm's on-site,Atm's off-site,Credit card cash withdraw,Debit card cash withdraw
2017-01-01,BANK OF BARODA,6287.0,4146.0,16700000.0,50090500000.0
2017-02-01,BANK OF BARODA,6276.0,4203.0,22700000.0,61315500000.0
2017-03-01,BANK OF BARODA,6296.0,4224.0,25500000.0,69927100000.0
2017-04-01,BANK OF BARODA,6307.0,4212.0,22200000.0,66622009999.99999
2017-05-01,BANK OF BARODA,6336.0,4216.0,21700000.0,65557200000.0
2017-06-01,BANK OF BARODA,6363.0,4200.0,24000000.0,67727600000.00001
2017-07-01,BANK OF BARODA,6373.0,3849.0,24000000.0,68809700000.0
2017-08-01,BANK OF BARODA,6333.0,3811.0,26000000.0,70656100000.0
2017-09-01,BANK OF BARODA,6337.0,3799.0,25900000.0,73238200000.0
2017-10-01,BANK OF BARODA,6340.0,3730.0,25500000.0,81092400000.0
2017-11-01,BANK OF BARODA,6401.0,3652.0,24500000.0,77958300000.0
2017-12-01,BANK OF BARODA,6415.0,3612.0,25000000.0,79909400000.0
2018-01-01,BANK OF BARODA,6420.0,3615.0,22540000.0,80779900000.0
2018-02-01,BANK OF BARODA,6436.0,3508.0,20800000.0,78504500000.0
2018-03-01,BANK OF BARODA,6286.0,3418.0,22900000.0,81887000000.0
2018-04-01,BANK OF BARODA,3428.0,4918.0,21100000.0,81694000000.0
2018-05-01,BANK OF BARODA,6295.0,3424.0,23400000.0,81632300000.0
2018-06-01,BANK OF BARODA,6263.0,3352.0,22400000.0,82404300000.0
2018-07-01,BANK OF BARODA,6356.0,3273.0,26100000.0,83120800000.0
2018-08-01,BANK OF BARODA,6359.0,3267.0,26200000.0,86681700000.0
2018-09-01,BANK OF BARODA,6383.0,3249.0,26100000.0,83104300000.0
2018-10-01,BANK OF BARODA,6351.0,3272.0,23000000.0,94606700000.0
2018-11-01,BANK OF BARODA,6337.0,3264.0,31200000.0,90439800000.0
2018-12-01,BANK OF BARODA,6410.0,3251.0,33400000.0,91159100000.0
2019-01-01,BANK OF BARODA,6436.0,3249.0,34500000.0,90696800000.0
2019-02-01,BANK OF BARODA,6430.0,3247.0,32400000.0,84197000000.0
2019-03-01,BANK OF BARODA,6329.0,3243.0,39100000.0,90562800000.0
2019-04-01,BANK OF BARODA,9126.0,3980.0,85400000.0,119082900000.0
2019-05-01,BANK OF BARODA,9321.0,3850.0,92800000.0,125633500000.0
2019-06-01,BANK OF BARODA,9315.0,3843.0,86600000.0,117955800000.0
2019-07-01,BANK OF BARODA,9388.0,3846.0,86490000.0,121253180000.0
2019-08-01,BANK OF BARODA,9400.0,3831.0,86390000.0,132224170000.0
2019-09-01,BANK OF BARODA,9332.0,3821.0,82050000.0,121187310000.00002
2019-10-01,BANK OF BARODA,9332.0,3821.0,76960000.0,145285180000.0
2019-11-01,BANK OF BARODA,9290.0,3782.0,72270000.0,120779910000.00002
2019-12-01,BANK OF BARODA,9327.0,3834.0,72010000.0,131859930000.0
2020-01-01,BANK OF BARODA,9320.0,3847.0,63800000.0,137938800000.0
2020-02-01,BANK OF BARODA,9349.0,3844.0,62000000.0,124464900000.0
2020-03-01,BANK OF BARODA,9354.0,3839.0,56000000.0,112078100000.0
