Date,Bank Name,Atm's on-site,Atm's off-site,Credit card cash withdraw,Debit card cash withdraw
Apr2020,,1.0,2.0,8.0,13.0
Apr2020,Scheduled Commercial Banks,,,,
Apr2020,Public Sector Banks,,,,
Apr2020,BANK OF BARODA,8961.0,3698.0,241.0,574472.0
Apr2020,BANK OF INDIA,2416.0,3334.0,364.0,344871.0
Apr2020,BANK OF MAHARASHTRA,1379.0,547.0,0.0,130551.0
Apr2020,CANARA BANK,8912.0,4439.0,1231.0,642714.0
Apr2020,CENTRAL BANK OF INDIA,2749.0,887.0,27.0,266733.0
Apr2020,INDIAN BANK,4262.0,789.0,101.0,440657.0
Apr2020,INDIAN OVERSEAS BANK,2684.0,360.0,13.0,265350.0
Apr2020,PUNJAB AND SIND BANK,1024.0,30.0,0.0,31675.0
Apr2020,PUNJAB NATIONAL BANK,8790.0,5008.0,35.0,743016.0
Apr2020,UCO BANK,2050.0,186.0,0.0,128735.0
Apr2020,UNION BANK OF INDIA,9239.0,3983.0,285.0,747614.0
Apr2020,IDBI LTD,2207.0,1476.0,18.0,163367.0
Apr2020,STATE BANK OF INDIA,25622.0,32915.0,1970.0,5207095.0
Apr2020,Private Sector Banks,,,,
Apr2020,AXIS BANK LTD,5441.0,12032.0,849.0,535505.0
Apr2020,BANDHAN BANK LTD,485.0,0.0,0.0,43422.0
Apr2020,CATHOLIC SYRIAN BANK LTD,248.0,51.0,0.0,8287.0
Apr2020,CITY UNION BANK,1110.0,682.0,2.0,43176.0
Apr2020,DCB BANK LTD,299.0,205.0,23.0,10818.0
Apr2020,DHANALAKSHMI BANK LTD,201.0,53.0,6.0,8450.0
Apr2020,FEDERAL BANK LTD,1480.0,463.0,0.0,149208.0
Apr2020,HDFC BANK LTD,6264.0,7805.0,4138.0,820369.0
Apr2020,ICICI BANK LTD,7260.0,10172.0,420.0,601126.0
Apr2020,IDFC Bank Limited,341.0,27.0,0.0,49145.0
Apr2020,INDUSIND BANK LTD,1257.0,1512.0,333.0,76370.0
